full_date,year,quarter,month,month_name,week_of_year,day_of_month,day_name,is_weekend,is_holiday
2016-11-25,2016,Q4,11,November,47,25,Friday,False,False
2016-11-26,2016,Q4,11,November,47,26,Saturday,True,False
2016-11-27,2016,Q4,11,November,47,27,Sunday,True,False
2016-11-28,2016,Q4,11,November,48,28,Monday,False,False
2016-11-29,2016,Q4,11,November,48,29,Tuesday,False,False
2016-11-30,2016,Q4,11,November,48,30,Wednesday,False,False
2016-12-01,2016,Q4,12,December,48,1,Thursday,False,False
2016-12-02,2016,Q4,12,December,48,2,Friday,False,False
2016-12-03,2016,Q4,12,December,48,3,Saturday,True,False
2016-12-04,2016,Q4,12,December,48,4,Sunday,True,False
2016-12-05,2016,Q4,12,December,49,5,Monday,False,False
2016-12-06,2016,Q4,12,December,49,6,Tuesday,False,False
2016-12-07,2016,Q4,12,December,49,7,Wednesday,False,False
2016-12-08,2016,Q4,12,December,49,8,Thursday,False,False
2016-12-09,2016,Q4,12,December,49,9,Friday,False,False
2016-12-10,2016,Q4,12,December,49,10,Saturday,True,False
2016-12-11,2016,Q4,12,December,49,11,Sunday,True,False
2016-12-12,2016,Q4,12,December,50,12,Monday,False,False
2016-12-13,2016,Q4,12,December,50,13,Tuesday,False,False
2016-12-14,2016,Q4,12,December,50,14,Wednesday,False,False
2016-12-15,2016,Q4,12,December,50,15,Thursday,False,False
2016-12-16,2016,Q4,12,December,50,16,Friday,False,False
2016-12-17,2016,Q4,12,December,50,17,Saturday,True,False
2016-12-18,2016,Q4,12,December,50,18,Sunday,True,False
2016-12-19,2016,Q4,12,December,51,19,Monday,False,False
2016-12-20,2016,Q4,12,December,51,20,Tuesday,False,False
2016-12-21,2016,Q4,12,December,51,21,Wednesday,False,False
2016-12-22,2016,Q4,12,December,51,22,Thursday,False,False
2016-12-23,2016,Q4,12,December,51,23,Friday,False,False
2016-12-24,2016,Q4,12,December,51,24,Saturday,True,False
2016-12-25,2016,Q4,12,December,51,25,Sunday,True,False
2016-12-26,2016,Q4,12,December,52,26,Monday,False,False
2016-12-27,2016,Q4,12,December,52,27,Tuesday,False,False
2016-12-28,2016,Q4,12,December,52,28,Wednesday,False,False
2016-12-29,2016,Q4,12,December,52,29,Thursday,False,False
2016-12-30,2016,Q4,12,December,52,30,Friday,False,False
2016-12-31,2016,Q4,12,December,52,31,Saturday,True,False
2017-01-01,2017,Q1,1,January,52,1,Sunday,True,False
2017-01-02,2017,Q1,1,January,1,2,Monday,False,False
2017-01-03,2017,Q1,1,January,1,3,Tuesday,False,False
2017-01-04,2017,Q1,1,January,1,4,Wednesday,False,False
2017-01-05,2017,Q1,1,January,1,5,Thursday,False,False
2017-01-06,2017,Q1,1,January,1,6,Friday,False,False
2017-01-07,2017,Q1,1,January,1,7,Saturday,True,False
2017-01-08,2017,Q1,1,January,1,8,Sunday,True,False
2017-01-09,2017,Q1,1,January,2,9,Monday,False,False
2017-01-10,2017,Q1,1,January,2,10,Tuesday,False,False
2017-01-11,2017,Q1,1,January,2,11,Wednesday,False,False
2017-01-12,2017,Q1,1,January,2,12,Thursday,False,False
2017-01-13,2017,Q1,1,January,2,13,Friday,False,False
2017-01-14,2017,Q1,1,January,2,14,Saturday,True,False
2017-01-15,2017,Q1,1,January,2,15,Sunday,True,False
2017-01-16,2017,Q1,1,January,3,16,Monday,False,False
2017-01-17,2017,Q1,1,January,3,17,Tuesday,False,False
2017-01-18,2017,Q1,1,January,3,18,Wednesday,False,False
2017-01-19,2017,Q1,1,January,3,19,Thursday,False,False
2017-01-20,2017,Q1,1,January,3,20,Friday,False,False
2017-01-21,2017,Q1,1,January,3,21,Saturday,True,False
2017-01-22,2017,Q1,1,January,3,22,Sunday,True,False
2017-01-23,2017,Q1,1,January,4,23,Monday,False,False
2017-01-24,2017,Q1,1,January,4,24,Tuesday,False,False
2017-01-25,2017,Q1,1,January,4,25,Wednesday,False,False
2017-01-26,2017,Q1,1,January,4,26,Thursday,False,False
2017-01-27,2017,Q1,1,January,4,27,Friday,False,False
2017-01-28,2017,Q1,1,January,4,28,Saturday,True,False
2017-01-29,2017,Q1,1,January,4,29,Sunday,True,False
2017-01-30,2017,Q1,1,January,5,30,Monday,False,False
2017-01-31,2017,Q1,1,January,5,31,Tuesday,False,False
2017-02-01,2017,Q1,2,February,5,1,Wednesday,False,False
2017-02-02,2017,Q1,2,February,5,2,Thursday,False,False
2017-02-03,2017,Q1,2,February,5,3,Friday,False,False
2017-02-04,2017,Q1,2,February,5,4,Saturday,True,False
2017-02-05,2017,Q1,2,February,5,5,Sunday,True,False
2017-02-06,2017,Q1,2,February,6,6,Monday,False,False
2017-02-07,2017,Q1,2,February,6,7,Tuesday,False,False
2017-02-08,2017,Q1,2,February,6,8,Wednesday,False,False
2017-02-09,2017,Q1,2,February,6,9,Thursday,False,False
2017-02-10,2017,Q1,2,February,6,10,Friday,False,False
2017-02-11,2017,Q1,2,February,6,11,Saturday,True,False
2017-02-12,2017,Q1,2,February,6,12,Sunday,True,False
2017-02-13,2017,Q1,2,February,7,13,Monday,False,False
2017-02-14,2017,Q1,2,February,7,14,Tuesday,False,False
2017-02-15,2017,Q1,2,February,7,15,Wednesday,False,False
2017-02-16,2017,Q1,2,February,7,16,Thursday,False,False
2017-02-17,2017,Q1,2,February,7,17,Friday,False,False
2017-02-18,2017,Q1,2,February,7,18,Saturday,True,False
2017-02-19,2017,Q1,2,February,7,19,Sunday,True,False
2017-02-20,2017,Q1,2,February,8,20,Monday,False,False
2017-02-21,2017,Q1,2,February,8,21,Tuesday,False,False
2017-02-22,2017,Q1,2,February,8,22,Wednesday,False,False
2017-02-23,2017,Q1,2,February,8,23,Thursday,False,False
2017-02-24,2017,Q1,2,February,8,24,Friday,False,False
2017-02-25,2017,Q1,2,February,8,25,Saturday,True,False
2017-02-26,2017,Q1,2,February,8,26,Sunday,True,False
2017-02-27,2017,Q1,2,February,9,27,Monday,False,False
2017-02-28,2017,Q1,2,February,9,28,Tuesday,False,False
2017-03-01,2017,Q1,3,March,9,1,Wednesday,False,False
2017-03-02,2017,Q1,3,March,9,2,Thursday,False,False
2017-03-03,2017,Q1,3,March,9,3,Friday,False,False
2017-03-04,2017,Q1,3,March,9,4,Saturday,True,False
2017-03-05,2017,Q1,3,March,9,5,Sunday,True,False
2017-03-06,2017,Q1,3,March,10,6,Monday,False,False
2017-03-07,2017,Q1,3,March,10,7,Tuesday,False,False
2017-03-08,2017,Q1,3,March,10,8,Wednesday,False,False
2017-03-09,2017,Q1,3,March,10,9,Thursday,False,False
2017-03-10,2017,Q1,3,March,10,10,Friday,False,False
2017-03-11,2017,Q1,3,March,10,11,Saturday,True,False
2017-03-12,2017,Q1,3,March,10,12,Sunday,True,False
2017-03-13,2017,Q1,3,March,11,13,Monday,False,False
2017-03-14,2017,Q1,3,March,11,14,Tuesday,False,False
2017-03-15,2017,Q1,3,March,11,15,Wednesday,False,False
2017-03-16,2017,Q1,3,March,11,16,Thursday,False,False
2017-03-17,2017,Q1,3,March,11,17,Friday,False,False
2017-03-18,2017,Q1,3,March,11,18,Saturday,True,False
2017-03-19,2017,Q1,3,March,11,19,Sunday,True,False
2017-03-20,2017,Q1,3,March,12,20,Monday,False,False
2017-03-21,2017,Q1,3,March,12,21,Tuesday,False,False
2017-03-22,2017,Q1,3,March,12,22,Wednesday,False,False
2017-03-23,2017,Q1,3,March,12,23,Thursday,False,False
2017-03-24,2017,Q1,3,March,12,24,Friday,False,False
2017-03-25,2017,Q1,3,March,12,25,Saturday,True,False
2017-03-26,2017,Q1,3,March,12,26,Sunday,True,False
2017-03-27,2017,Q1,3,March,13,27,Monday,False,False
2017-03-28,2017,Q1,3,March,13,28,Tuesday,False,False
2017-03-29,2017,Q1,3,March,13,29,Wednesday,False,False
2017-03-30,2017,Q1,3,March,13,30,Thursday,False,False
2017-03-31,2017,Q1,3,March,13,31,Friday,False,False
2017-04-01,2017,Q2,4,April,13,1,Saturday,True,False
2017-04-02,2017,Q2,4,April,13,2,Sunday,True,False
2017-04-03,2017,Q2,4,April,14,3,Monday,False,False
